Üretimden Satışlar Genel Sıra No;Firma Adı;Yıl;Üretimden Satışlar;Net Satışlar;Brüt Katma Değer;Özkaynak;Aktif Toplamı;Vergi Öncesi Kar/Zarar;FAVÖK Kar/Zarar;İhracat (Bin $) ;Ücretle Çalışanlar Ortalaması Kişi;Bağlı Olduğu Oda;Sermaye Payı Kamu;Sermaye Payı Özel;Sermaye Payı Yabancı;Sermaye Payı Halka Açık;NACE;NACE Kodu;ISIC;ISIC Kodu;Web Adresi;İl;İlçe;Adres
195;Savola Gıda San. ve Tic. A.Ş.;2021;2.386.023.905,00;2.394.127.868,00;;;;;;6.112,00;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.yudum.com.tr;İstanbul;Ataşehir;Barbaros Mah. Kardelen Sok. No.2/123 Kat 36 Palladium Tower
196;Anadolu Isuzu Otomotiv San. ve Tic. A.Ş.;2021;2.384.308.492,00;2.842.358.386,00;;;;;;133.154,00;953;İstanbul Sanayi Odası;0,00;55,82;29,73;14,45;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.isuzu.com.tr;Kocaeli;Çayırova;Şekerpınar Mah. Otomotiv Cad. No.2 
197;Mem Tekstil San. ve Tic. A.Ş.;2021;2.380.495.056,00;2.425.589.018,00;704.415.363,00;1.155.383.447,00;3.282.869.514,00;246.960.141,00;594.165.150,00;17.992,00;2660;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.memtextile.com;Kahramanmaraş;Dulkadiroğlu;Eyüp Sultan Mah. 25032 Sok. No.14/A 
198;Çimko Çimento ve Beton San. Tic. A.Ş.;2021;2.370.207.671,00;2.375.631.176,00;;;;;;94.602,00;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.cimko.com.tr;Gaziantep;Şehitkamil;Burak Mah. Sani Konukoğlu Bulvarı No.221   
199;Gemlik Gübre Sanayii A.Ş.;2021;2.369.243.181,00;3.228.343.928,00;1.686.086.005,00;1.827.708.378,00;5.270.824.128,00;1.174.857.376,00;1.667.798.674,00;98.521,00;652;Gemlik Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.gemlikgubre.com.tr;Bursa;Gemlik;Ata Mah. Sanayi Cad.  No.6
200;Göknur Gıda Maddeleri Enerji İmalat İth. İhr. Tic. ve San. A.Ş.;2021;2.360.055.215,00;2.581.055.416,00;;477.440.352,00;2.547.008.371,00;;322.512.936,00;250.440,00;607;Ankara Sanayi Odası;0,00;16,50;83,50;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.goknur.com.tr;Ankara;Etimesgut;Erler Mah. 2716. Cad. No.11
201;Eti Krom A.Ş.;2021;2.352.612.725,00;2.371.331.400,00;1.709.927.833,00;1.864.985.156,00;8.430.071.335,00;496.373.197,00;1.514.602.407,00;;1073;Elazığ Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Metal cevherleri madenciliği;07        ;"Madencilik ve Taşocakçılığı
";210       ;www.etikrom.com;Elazığ;Kovancılar;Bingöl Karayolu 55. Km Pk. 96
202;Sıddık Kardeşler Haddecilik San. Tic. Ltd. Şti.;2021;2.330.800.117,00;2.424.818.737,00;186.458.696,00;182.414.052,00;782.266.229,00;1.492.920,00;30.268.778,00;;417;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.siddikkardesler.com;İstanbul;Kadıköy;Ankara Asfaltı 105 Evler Halk Sok. No.56/11 Kozyatağı
203;Şahinler Metal San. ve Tic. A.Ş.;2021;2.319.227.009,00;2.332.264.558,00;;;;;;;;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.sahinler.com.tr;Ankara;Çankaya;Söğütözü Mah. Söğütözü Cad. Koç Kuleleri A Blok No.62
204;Deva Holding A.Ş.;2021;2.319.065.423,00;2.323.058.543,00;1.622.185.004,00;2.743.190.693,00;5.077.549.990,00;1.180.857.937,00;;39.178,00;2550;İstanbul Sanayi Odası;0,00;0,00;82,20;17,80;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.deva.com.tr;İstanbul;Küçükçekmece;Merkez Mah. Basın Ekspres Cad. No.1 Halkalı
206;İstikbal Mobilya San. ve Tic. A.Ş.;2021;2.305.437.932,00;3.410.497.684,00;649.551.578,00;2.380.419.277,00;3.072.243.101,00;606.566.210,00;309.694.533,00;60.654,00;3056;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Mobilya imalatı;31        ;Ağaç, Mobilya ve Mefruşat Sanayi;332       ;www.istikbal.com.tr;Kayseri;Melikgazi;Kayseri OSB Mahallesi 6. Cadde No.35
207;Memişoğlu Tarım Ürünleri Ticaret Ltd. Şti.;2021;2.302.711.571,00;2.339.981.769,00;39.302.113,00;625.619.424,00;1.418.892.102,00;110.919.774,00;208.218.116,00;108.739,00;563;Mersin Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.tatbakliyat.com;Mersin;Akdeniz;Toroslar Mah. Atatürk8 Bulvarı Memişoğlu Sit. No.1/1
208;Çebitaş Demir Çelik Endüstrisi A.Ş.;2021;2.277.719.587,00;2.282.172.790,00;349.989.084,00;513.587.875,00;877.756.789,00;230.831.999,00;267.868.807,00;19.333,00;292;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.cebitas.com.tr;İstanbul;Kadıköy;Eğitim Mah. Poyraz Sok. Sadıkoğlu 3 İş Merkezi No.28 Kat.1 Büro.6789
209;Kadooğlu Yağ San. ve Tic. A.Ş.;2021;2.266.047.386,00;2.370.994.243,00;75.678.141,00;129.298.180,00;1.300.934.270,00;49.987.752,00;76.431.290,00;140.473,00;272;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.kadoogluyag.com;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83422 Nolu Cad. No.11 Başpınar
210;Ege Profil Tic. ve San. A.Ş.;2021;2.262.224.853,00;2.721.071.556,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;0,00;88,32;11,68;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.egeprofil.com.tr;İzmir;Menemen;Atatürk Plastik OSB Mah. 5. Cad. No.4
211;Mondi Olmuksan Kağıt ve Ambalaj Sanayi A.Ş.;2021;2.258.784.880,00;2.261.676.503,00;429.587.704,00;;1.664.179.807,00;244.224.241,00;283.270.338,00;;;İstanbul Sanayi Odası;0,00;0,00;92,00;8,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.mondiolmuksan.com.tr;İstanbul;Şile;Esentepe Mah. Harman Sok. Nidakule Levent Apt. No.7/9/54
212;ANKUTSAN Antalya Kutu Sanayi Oluklu Mukavva Kağıt Ticaret A.Ş.;2021;2.257.693.199,00;2.274.319.817,00;;;;;;50.330,00;;Antalya Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.ankutsan.com;Antalya;Döşemealtı;Organize Sanayi Bölgesi 2. Kısım 22. Cad. No.6
213;Adopen Plastik ve İnşaat Sanayi A.Ş.;2021;2.249.047.192,00;2.499.113.450,00;;470.480.036,00;3.194.135.646,00;;617.418.527,00;106.844,00;2003;Antalya Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.adopen.com.tr;Antalya;Döşemealtı;Antalya Organize Sanayi Bölgesi 2. Kısım Mah. 21. Cad. No.3
214;Aves Enerji Yağ ve Gıda Sanayi A.Ş.;2021;2.247.526.481,00;2.809.369.698,00;209.159.029,00;234.355.573,00;1.777.888.967,00;61.673.555,00;260.355.033,00;98.354,00;334;Mersin Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.avesas.com;Mersin;Akdeniz;Toroslar Mah. Gizem Sok. No.19
215;Sarbak Metal Tic. ve San. A.Ş.;2021;2.244.783.687,00;2.246.156.977,00;480.201.082,00;623.946.949,00;1.721.194.702,00;160.984.055,00;451.547.782,00;107.662,00;286;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.sarbak.com.tr;İstanbul;Kadıköy;Eğitim Mah. Adım Sok. Orjin İş Merkezi No.1018 Kat.3 Daire No.3949 Hasanpaşa
216;Süper Film Ambalaj San. ve Tic. A.Ş.;2021;2.224.293.045,00;2.250.101.355,00;;;;;;49.684,00;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.superfilm.com;Gaziantep;Şehitkamil;Başpınar (Organize) OSB Mah. OSB 2. Bölge Hacı Sani Konukoğlu Bulvarı No.1
217;Kahramanmaraş Kağıt San. ve Tic. A.Ş.;2021;2.219.740.375,00;2.272.422.394,00;;;;;;11.080,00;751;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.kmkpaper.com;İstanbul;Kadıköy;Merdivenköy Mahallesi Dikyol Sokak B Blok Apt. No.2/94
218;Hema Endüstri A.Ş.;2021;2.212.670.504,00;2.214.729.309,00;;;3.951.061.347,00;;;161.268,00;2041;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.hattat.com.tr;Tekirdağ;Çerkezköy;Organize Sanayi Bölgesi Gazi Osman Paşa Mah. 4. Cad. No.5
219;DYO Boya Fabrikaları San. ve Tic. A.Ş.;2021;2.197.337.874,00;2.292.409.559,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;74,53;0,00;25,47;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.dyo.com.tr;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10003 Sok. No.2/8
220;Çayırova Boru San. ve Tic. A.Ş.;2021;2.180.883.954,00;2.279.728.333,00;;;;;;;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.cayirovaboru.com;İstanbul;Kadıköy;Rıhtım Cad. No.44
221;Kimteks Poliüretan San. ve Tic. A.Ş.;2021;2.179.958.223,00;2.187.788.737,00;;;;;;;;Kocaeli Sanayi Odası;0,00;72,85;0,00;27,15;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.kimpur.com;İstanbul;Kağıthane;Emniyet Evleri Mah. Eski Büyükdere Cad. Sapphire Sit. No.14/56 D.1901
222;Mitaş Endüstri San. Tic. A.Ş.;2021;2.176.006.273,00;2.436.988.515,00;;;;;;157.001,00;;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.mitasindustry.com;Ankara;Sincan;Aso 2. Ve 3.Organize Sanayi Bölgesi Alcı OSB Mah. 2001 Cad. No.19
223;Şireci Tekstil San. ve Tic. A.Ş.;2021;2.136.715.837,00;2.234.198.259,00;;;;;;;2787;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.sireci.com.tr;Gaziantep;Şehitkamil;3.Organize Sanayi Bölgesi 83318 Nolu Cad. No.5
224;CMS Jant ve Makina Sanayii A.Ş.;2021;2.123.281.050,00;2.388.637.604,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.cms.com.tr;İzmir;Bornova;Kemalpaşa Cad. No.302 Pınarbaşı 
225;Net Haddecilik San. ve Tic. Ltd. Şti.;2021;2.121.105.775,00;2.566.597.253,00;;;532.026.978,00;;;28.510,00;213;Dörtyol Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.nethaddecilik.com.tr;Hatay;Payas;Karşı OSB Mah. Şehit Mustafa Avcı Cad. No.10
226;Honda Türkiye A.Ş.;2021;2.118.253.366,00;3.262.170.752,00;74.750.318,00;140.801.402,00;1.642.756.271,00;449.286.812,00;42.434.490,00;16.103,00;1292;Kocaeli Sanayi Odası;0,00;0,00;100,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.honda.com.tr;İstanbul;Maltepe;Aydınevler Mah.Sanayi Cad. No:1
227;Yarış Kabin San. ve Tic. A.Ş.;2021;2.115.524.624,00;2.306.379.830,00;;;;;;74.478,00;1342;Balıkesir Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.yariskabin.com.tr;Balıkesir;Altıeylül;Gaziosmanpaşa Mah. Organize Sanayi Bölgesi 4. Cad. No.26
228;Has Çelik San. ve Tic. A.Ş.;2021;2.107.085.843,00;3.870.975.530,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.hascelik.com;İstanbul;Tuzla;İstanbul Anadolu Yakası Organize Sanayi Bölgesi 2. Sanayi Cad. No.10
229;Çamsan Entegre Ağaç San. ve Tic. A.Ş.;2021;2.105.392.438,00;2.133.521.192,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16        ;Ağaç ve Mantar Ürünleri Sanayi;331       ;www.camsan.com.tr;İstanbul;Kağıthane;Büyükdere Cad. Eski Oto Sanayi Girişi Emektar Sok. No.4 Kat.2 4. Levent
230;Sistem Alüminyum San. ve Tic. A.Ş.;2021;2.104.741.257,00;2.114.262.188,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.sistemaluminyum.com.tr;İstanbul;Esenyurt;Akçaburgaz Mah. 3055 Sok. No.4 Kıraç
231;Hastavuk Gıda Tarım Hayvancılık San. ve Tic. A.Ş.;2021;2.101.431.388,00;2.313.889.849,00;;;720.392.001,00;;;65.666,00;2024;Bursa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.hastavuk.com.tr;Bursa;Nilüfer;Balkan Mah. Hasanağa Cad. No.8/1 
232;YATAŞ Yatak ve Yorgan San. Tic. A.Ş.;2021;2.100.001.232,00;2.893.234.590,00;712.486.333,00;696.863.989,00;1.590.702.828,00;320.428.406,00;424.527.167,00;29.997,00;3221;Kayseri Sanayi Odası;0,00;40,94;0,00;59,06;Mobilya imalatı;31        ;Ağaç, Mobilya ve Mefruşat Sanayi;332       ;www.yatas.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 18. Cad. No.6
234;Türk Tuborg Bira ve Malt Sanayi A.Ş.;2021;2.075.145.739,00;2.230.892.225,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;0,00;95,69;4,31;İçeceklerin imalatı;11        ;İçki Sanayi (Alkollü ve Alkolsüz);313       ;www.turktuborg.com.tr;İzmir;Bornova;Egemenlik Mah. Kemalpaşa Cad. No.258 Işıkkent
236;Balıkesir Elektromekanik Sanayi Tesisleri A.Ş.;2021;2.040.762.360,00;2.049.821.852,00;;;;;;;;Balıkesir Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.besttransformer.com;Balıkesir;Altıeylül;Gümüşçeşme Mah. 252. Sok. No.113/A
237;Panagro Tarım Hayvancılık Gıda San. ve Tic. A.Ş.;2021;2.031.426.879,00;2.367.665.410,00;;;1.857.689.864,00;;;7.033,00;1018;Konya Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.panagro.com.tr;Konya;Meram;Melikşah Mah. Beyşehir Cad. Rektörlük Binası No.7/2
238;Elita Gıda San. ve Tic. A.Ş.;2021;2.027.053.466,00;2.103.653.042,00;;;;;;;;Adana Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.elitagida.com.tr;İstanbul;Kadıköy;"Kozyatağı Mah. Çardak Sok. Herti Plaza A Blok No.1/3 														"
239;Aunde Teknik Tekstil San. ve Tic. A.Ş.;2021;2.005.165.695,00;2.034.145.956,00;424.553.933,00;1.936.391.345,00;;657.417.339,00;;236.523,00;3704;Bursa Ticaret ve Sanayi Odası;0,00;50,00;50,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.aundeteknik.com.tr;Bursa;Osmangazi;Demirtaş Dumlupınar OSB Mah. Açelya Sok. No.2
240;Sumitomo Rubber AKO Lastik San. ve Tic. A.Ş.;2021;1.996.133.636,00;1.998.202.569,00;;;;;;133.508,00;2212;Çankırı Ticaret ve Sanayi Odası;0,00;20,00;80,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Lastik Ürünleri Sanayi;355       ;www.sumitomorubberako.com.tr;Çankırı;Merkez;Tüneyköy Mevkii Yakınkent OSB 1.Cadde No.1 
241;Jotun Boya San. ve Tic. A.Ş.;2021;1.994.091.700,00;2.140.630.116,00;;587.507.766,00;2.283.817.022,00;;;75.250,00;;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.jotun.com.tr;İstanbul;Sarıyer;Balabandere Cad. Hillpark Suites Sitesi No.10 İstinye
243;Bien Yapı Ürünleri Sanayi Turizm ve Ticaret A.Ş.;2021;1.991.851.289,00;2.099.657.675,00;;;;;;53.784,00;231;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Çanak, Çömlek, Çini, Porselen Sanayi;361       ;www.bienseramik.com.tr;Ankara;Çankaya;Barbaros Mah. Billur Sok. No.1/4 Kavaklıdere
244;Progıda Tarım Ürünleri San. ve Tic. A.Ş.;2021;1.988.121.889,00;1.994.746.055,00;;;;;;;;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.progida.com.tr;İstanbul;Sarıyer;Eski Büyükdere Cad. İz Plaza Giz No.9/4 Maslak
245;Balsu Gıda San. ve Tic. A.Ş.;2021;1.974.315.972,00;2.484.089.711,00;;;;;;209.186,00;;Sakarya Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.balsugida.com;Sakarya;Hendek;Balsu Cad. No.2
246;Çınar Boru Profil San. ve Tic. A.Ş.;2021;1.962.467.262,00;2.121.525.173,00;;;;;;;;Kdz. Ereğli Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.cinarboru.com;Zonguldak;Ereğli;Hamzafakılı Mah. Çınar Sok. No.1
247;Saray Döküm ve Madeni Aksam Sanayi Turizm A.Ş.;2021;1.948.144.305,00;1.982.940.749,00;;2.069.607.740,00;2.212.927.423,00;;;104.373,00;572;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.saray.com;İstanbul;Bağcılar;Bağlar Mah. Osmanpaşa Cad. No.89 Güneşli
248;Zorluteks Tekstil Tic. ve San. A.Ş.;2021;1.943.622.704,00;2.310.357.551,00;;1.716.657.800,00;6.726.513.388,00;;;153.913,00;2756;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.zorlutekstil.com.tr;İstanbul;Şişli;Levent 199, Büyükdere Cad. No.199
249;ŞaRa Enerji İnşaat Tic. ve San. A.Ş.;2021;1.915.668.600,00;2.024.148.191,00;;;;;;44.772,00;;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.sara.com.tr;Ankara;Çankaya;Ümit Mah. 2479.Cad. No.2/15 Ümitköy
250;Keskinoğlu Tavukçuluk ve Damızlık İşletmeleri San. Tic. A.Ş.;2021;1.900.642.596,00;2.125.700.857,00;;;;;;;;Akhisar Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.keskinoglu.com.tr;Manisa;Akhisar;Kayalıoğlu Mah. İstiklal Cad. No:140
251;Elba Basınçlı Döküm Sanayii A.Ş.;2021;1.896.107.502,00;1.896.705.506,00;;;;;;110.784,00;816;Manisa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.elba.com.tr;Manisa;Yunusemre;Organize Sanayi Bölgesi 50. Yıl Cad. No.15
252;Soma Termik Santral Elektrik Üretim A.Ş.;2021;1.888.405.110,00;2.012.405.554,00;;;4.729.917.120,00;;;;859;Soma Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.somatermik.com.tr;Konya;Meram;Melikşah Mah. Beyşehir Cad. No.7/2 
253;Özer Metal Sanayi A.Ş.;2021;1.886.335.435,00;1.886.335.435,00;624.927.739,00;1.082.737.654,00;1.221.672.283,00;577.157.726,00;575.617.648,00;89.573,00;125;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.ozermetal.com;İstanbul;Bahçelievler;Çobançeşme Sanayi Cad. No.44 Nish İstanbul A Blok No.57
254;Elvan Gıda San. ve Tic. A.Ş.;2021;1.881.774.087,00;2.059.016.837,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.elvan.com.tr;İstanbul;Bahçelievler;Merkez Mah. Arifağa Sok. No.1 Yenibosna
255;Anadolu Efes Biracılık ve Malt Sanayii A.Ş.;2021;1.876.474.122,00;2.020.318.776,00;3.168.777.177,00;2.827.108.229,00;14.470.142.134,00;2.058.164.738,00;;25.997,00;1024;İstanbul Sanayi Odası;0,00;43,05;24,00;32,95;İçeceklerin imalatı;11        ;İçki Sanayi (Alkollü ve Alkolsüz);313       ;www.anadoluefes.com;İstanbul;Ümraniye;Fatih Sultan Mehmet Mah. Balkan Cad. Buyaka E Blok No.58/24
256;Toyota Boshoku Türkiye Otomotiv San. ve Tic. A.Ş.;2021;1.870.826.808,00;2.146.948.631,00;;524.015.907,00;876.990.679,00;;;21.474,00;1103;Sakarya Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.toyotaboshokutr.com;Sakarya;Arifiye;Sakarya 1. Organize Sanayi Bölgesi Mah. 5. Cad. No.1
257;İskur Tekstil Enerji Tic. ve San. A.Ş.;2021;1.859.080.941,00;2.168.726.899,00;837.628.227,00;857.881.939,00;2.766.058.358,00;271.453.193,00;657.235.671,00;9.511,00;1621;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.iskur.com;Kahramanmaraş;Dulkadiroğlu;Genç Osman Mah. Recep Tayyip Erdoğan Bulvarı No.97/A
258;Trinox Metal San. ve Tic. A.Ş.;2021;1.853.300.474,00;1.853.300.474,00;;;777.927.283,00;;;27.380,00;;Çorlu Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.trinoxmetal.com;Tekirdağ;Ergene;Karamehmet Mah. Avrupa Serbest Bölgesi Osman Şahin Bulvarı No.7
259;Akdeniz Chemson Kimya San. ve Tic. A.Ş.;2021;1.846.774.254,00;2.687.988.825,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.akdenizchemson.com;İzmir;Kemalpaşa;Kemalpaşa OSB. Mah. İzmir Kemalpaşa Asfaltı Cad. No.45
260;FNSS Savunma Sistemleri A.Ş.;2021;1.844.344.430,00;1.854.882.782,00;;;;;;10.056,00;;Ankara Sanayi Odası;0,00;51,00;49,00;0,00;Diğer ulaşım araçlarının imalatı;30        ;Taşıt Araçları Sanayi;384       ;www.fnss.com.tr;Ankara;Gölbaşı;Oğulbey Mah. Kumludere Cad. No.11
261;Doğuş Çay ve Gıda Maddeleri Üretim Pazarlama İth. İhr. A.Ş.;2021;1.842.555.418,00;2.298.878.027,00;;;;;152.690.652,00;5.536,00;2141;Ordu Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.doguscay.com.tr;Ordu;Altınordu;Karapınar OSB Mah. Muhsin Tercan Sok. Doğuş Çay Sitesi No.42/1
262;Çalık Denim Tekstil San. ve Tic. A.Ş.;2021;1.842.250.801,00;1.933.753.605,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.calikdenim.com;İstanbul;Güngören;Keresteciler Sitesi Fatih Cad. Ladin Sok. No.17 Merter
